Player,Team,Games,Minutes,Offence_per_40,Defence_per_40,Net_per_40,Reliability,Net_Adjusted_Points,Estimated_Wins_Source
Chennedy Carter,LV,14,245.3,4.07438,-2.151036,1.923344,0.449844,11.79490708,0.39316356933333324
Cameron Brink,LA,14,244.858333,1.002165,0.889359,1.891524,0.449398,11.578885336737299,0.38596284455790997
Michaela Onyenwere,WSH,16,415.411667,1.869977,-0.008042,1.861935,0.580661,19.336738054891125,0.6445579351630375
Carla Leite,POR,20,504.341667,1.846504,-0.004539,1.841965,0.627024,23.22449246639137,0.7741497488797123
Satou Sabally,NY,13,217.798333,3.876282,-2.19882,1.677462,0.420624,9.13371068177115,0.304457022725705
Erica Wheeler,LA,20,544.526667,1.896513,-0.220688,1.675825,0.644771,22.813285043131874,0.7604428347710624
Kiki Iriafen,WSH,17,479.553333,-0.847532,2.497562,1.65003,0.615164,19.78193465124975,0.659397821708325
Luisa Geiselsoder,POR,18,317.725,0.230629,1.396295,1.626924,0.514347,12.922860697500003,0.43076202325000007
Jonquel Jones,NY,22,652.843333,0.997176,0.615093,1.612269,0.685153,26.313976691314423,0.8771325563771474
Antonia Delaere,MIN,22,303.958333,1.506825,0.079868,1.586693,0.503277,12.057213981569225,0.40190713271897416
Valeriane Ayayi,PHX,17,272.396667,0.125012,1.442832,1.567844,0.475888,10.6768869993987,0.35589623331329
Sarah Ashlee Barker,POR,22,559.32,0.453929,1.028835,1.482764,0.650887,20.733489012,0.6911163004
Teja Oblak,POR,16,218.148333,-1.256697,2.736793,1.480096,0.421015,8.072011876999202,0.2690670625666401
Monique Billings,IND,21,415.093333,-0.192161,1.668841,1.47668,0.580474,15.324000574361,0.5108000191453667
Eliska Hamzova,MIN,7,52.416667,2.052896,-0.595411,1.457485,0.148735,1.909912647562375,0.06366375491874583
Maya Caldwell,MIN,22,324.008333,0.002579,1.420057,1.422636,0.519237,11.5236479706447,0.38412159902148996
Han Xu,NY,22,263.588333,0.83488,0.56091,1.39579,0.467697,9.197848982951749,0.30659496609839165
Laeticia Amihere,GS,19,223.721667,-0.330273,1.68694,1.356667,0.427177,7.587895070097225,0.2529298356699075
Nell Angloma,CON,18,191.678333,0.657991,0.687531,1.345522,0.389845,6.44768534937065,0.21492284497902164
Kayla McBride,MIN,22,707.951667,2.38066,-1.039112,1.341548,0.702367,23.743778574012904,0.7914592858004301
Sika Kone,ATL,21,116.881667,0.055442,1.27395,1.329392,0.280371,3.8845388264115996,0.1294846275470533
Janelle Salaun,GS,23,519.798333,2.177724,-0.89591,1.281814,0.634056,16.65711951040155,0.555237317013385
Leila Lacan,CON,13,372.821667,-1.116237,2.395149,1.278912,0.554117,11.9201525946576,0.39733841982192
Juste Jocyte,GS,8,56.105,1.446409,-0.187048,1.259361,0.157552,1.7664112226250002,0.058880374087500006
Jovana Nogic,PHX,16,322.51,0.451309,0.796959,1.248268,0.51808,10.064472817,0.33548242723333327
Serah Williams,POR,18,191.883333,0.308149,0.899426,1.207575,0.390099,5.792837896186874,0.19309459653956246
Brittney Griner,CON,13,331.951667,-1.539823,2.690386,1.150563,0.52528,9.548282645963026,0.3182760881987675
Kennedy Burke,CON,21,505.466667,0.368329,0.778137,1.146466,0.627545,14.48750869622055,0.482916956540685
Sami Whitcomb,PHX,1,11.163333,0.347938,0.762711,1.110649,0.035876,0.309963615827925,0.010332120527597499
Dominique Malonga,SEA,16,408.266667,3.372221,-2.349874,1.022347,0.576431,10.434755055186228,0.3478251685062076
Gabby Williams,GS,23,586.976667,0.561048,0.349901,0.910949,0.661772,13.367645195674575,0.4455881731891525
Li Yueru,DAL,15,118.806667,4.24231,-3.544988,0.697322,0.283679,2.0711625661443493,0.06903875220481165
Betnijah Laney-Hamilton,NY,15,261.461667,1.989065,-1.295774,0.693291,0.46568,4.531725514402425,0.1510575171467475
Alissa Pili,LA,1,11.933333,0.794413,-0.109986,0.684427,0.038256,0.204187382629775,0.006806246087659167
Aaliyah Nye,ATL,10,16.078333,1.63038,-0.971896,0.658484,0.050868,0.2646831256793,0.008822770855976665
Emma Cannon,LA,7,46.216667,1.44437,-0.808021,0.636349,0.133491,0.735248245719575,0.024508274857319167
Aziaha James,DAL,22,283.656667,0.927187,-0.453327,0.47386,0.485999,3.3603387056155,0.11201129018718332
DeWanna Bonner,PHX,23,609.908333,-1.562052,1.924573,0.362521,0.670296,5.527614469687326,0.1842538156562442
Brianna Turner,LV,20,204.28,-2.340078,2.646465,0.306387,0.405092,1.564718409,0.0521572803
Kaitlyn Chen,GS,23,335.328333,-1.364986,1.668646,0.30366,0.527803,2.5456450399695,0.08485483466565
Pauline Astier,NY,23,566.856667,0.779617,-0.476489,0.303128,0.653922,4.2957531938594,0.14319177312864667
Raquel Carrera,NY,11,64.336667,0.2956,-0.007856,0.287744,0.176586,0.4628122477312,0.015427074924373334
Anneli Maley,NY,4,28.233333,-0.339111,0.580485,0.241374,0.086016,0.17036981298855,0.005678993766285
Marine Johannes,NY,23,534.8,0.099131,0.12197,0.221101,0.640632,2.95612037,0.09853734566666666
Nia Coffey,MIN,22,581.736667,-0.722601,0.928413,0.205812,0.659762,2.9932096727151,0.09977365575717
Kate Martin,LA,11,93.41,2.887398,-2.701299,0.186099,0.237437,0.43458768975,0.014486256325
Ornella Bankole,TOR,1,7.95,-0.375354,0.525156,0.149802,0.025816,0.0297731475,0.00099243825
Ezi Magbegor,SEA,4,53.616667,-1.129194,1.262533,0.133339,0.151624,0.17872981902782484,0.005957660634260828
Ndjakalenga Mwenentanda,GS,5,12.9,1.418682,-1.35816,0.060522,0.041227,0.019518345,0.0006506115
Ariel Atkins,LA,18,459.768333,-1.236368,1.279817,0.043449,0.605143,0.4994118575129258,0.016647061917097528
Rickea Jackson,CHI,4,117.98,-0.399353,0.43582,0.036467,0.282262,0.1075594165,0.0035853138833333307
Makayla Timpson,IND,21,279.71,1.549702,-1.522526,0.027176,0.4825,0.190034974,0.006334499133333301
Tyasha Harris,IND,17,241.726667,-1.001134,1.026704,0.02557,0.446215,0.15452377187975055,0.005150792395991685
Amy Okonkwo,ATL,1,1.333333,-0.194153,0.162263,-0.03189,0.004425,-0.00106299973425,-0.000035433324475
Shakira Austin,WSH,19,546.331667,-0.585595,0.545875,-0.03972,0.645529,-0.542507345331,-0.0180835781777
Aubrey Griffin,NY,4,7.72,0.598279,-0.700315,-0.102036,0.025088,-0.019692948,-0.0006564316
Jade Melbourne,SEA,23,535.421667,-1.648179,1.512251,-0.135928,0.6409,-1.8194699087994,-0.06064899695998
Peyton Williams,PHX,1,5.766667,0.021624,-0.159014,-0.13739,0.01886,-0.01980705947825,-0.0006602353159416666
JJ Quinerly,DAL,2,12.433333,-0.321363,0.171836,-0.149527,0.039795,-0.046477974587275,-0.0015492658195758334
Dorka Juhasz,MIN,2,44.05,0.329756,-0.500169,-0.170413,0.128034,-0.18766731625,-0.006255577208333332
Costanza Verona,DAL,1,5.783333,-0.458574,0.185127,-0.273447,0.018913,-0.039535876471275,-0.0013178625490425
Rhyne Howard,ATL,21,738.135,-0.336341,0.0397,-0.296641,0.71102,-5.474027613375,-0.1824675871125
Lauren Betts,WSH,20,324.318333,-3.067229,2.76706,-0.300169,0.519476,-2.433757742456928,-0.08112525808189759
Awa Fam,SEA,18,525.338333,-0.711707,0.390302,-0.321405,0.636513,-4.221159172946625,-0.14070530576488752
Mariella Fasoula,TOR,3,15.316667,0.067819,-0.394932,-0.327113,0.048576,-0.125257022309275,-0.004175234076975833
Marine Fauthoux,NY,3,16.433333,-0.701976,0.352773,-0.349203,0.051933,-0.143464229589975,-0.004782140986332501
Ashten Prechtel,GS,1,4.8,0.437199,-0.803911,-0.366712,0.015748,-0.04400544,-0.001466848
Angel Reese,ATL,22,672.763333,-0.912205,0.504902,-0.407303,0.6916,-6.850463095522477,-0.22834876985074923
Taina Mair,SEA,3,13.233333,-0.226344,-0.210708,-0.437052,0.042248,-0.1445913663579,-0.00481971221193
Jessica Shepard,DAL,22,714.211667,-1.232254,0.794485,-0.437769,0.704204,-7.816493181273074,-0.26054977270910246
Ta'Niya Latson,LA,10,50.005,0.667498,-1.131403,-0.463905,0.142869,-0.579939238125,-0.0193313079375
Sania Feagin,LA,3,10.2,0.756553,-1.24145,-0.484897,0.032882,-0.123648735,-0.0041216245
Isobel Borlase,ATL,22,261.946667,3.476343,-3.996427,-0.520084,0.466142,-3.4058567590007014,-0.11352855863335672
Arike Ogunbowale,DAL,22,635.366667,-0.905494,0.347357,-0.558137,0.67927,-8.865541135484474,-0.29551803784948244
Cassandre Prosper,WSH,16,222.093333,0.581704,-1.14708,-0.565376,0.42539,-3.1391560059552006,-0.10463853353184002
Kamilla Cardoso,CHI,21,560.985,-0.248917,-0.348115,-0.597032,0.651562,-8.373149913,-0.2791049971
Saylor Poffenbarger,CHI,5,25.516667,-0.439555,-0.196637,-0.636192,0.078388,-0.4058374853016,-0.01352791617672
Laura Ziegler,LA,3,29.311667,0.582268,-1.223069,-0.640801,0.089009,-0.469573638131675,-0.015652454604389167
Joyner Holmes,SEA,1,14.733333,-1.333604,0.686987,-0.646617,0.046812,-0.238170589611525,-0.0079390196537175
Rachel Banham,CHI,18,262.051667,-2.168847,1.517177,-0.65167,0.466241,-4.26928024584725,-0.14230934152824168
Isabelle Harrison,TOR,11,271.415,0.83228,-1.484828,-0.652548,0.474988,-4.4277828855,-0.14759276285
Jihyun Park,LA,15,136.315,1.897751,-2.576004,-0.678253,0.312423,-2.3114014423750007,-0.07704671474583336
Noemie Brochant,PHX,22,492.415,0.553062,-1.242696,-0.689634,0.62141,-8.48965315275,-0.282988438425
Cecilia Zandalasini,GS,19,335.041667,-1.855833,1.149447,-0.706386,0.52759,-5.916718574636549,-0.197223952487885
Kiana Williams,LA,13,178.338333,1.363532,-2.076941,-0.713409,0.372829,-3.1807042951799263,-0.10602347650599754
Courtney Williams,MIN,22,668.335,0.062977,-0.794808,-0.731831,0.69019,-12.227706784625,-0.4075902261541666
Nyadiew Puoch,POR,21,359.808333,-0.935291,0.163551,-0.77174,0.545323,-6.9419620727355,-0.23139873575785
Tiffany Hayes,GS,21,324.735,-0.225876,-0.558147,-0.784023,0.519796,-6.364992722625,-0.2121664240875
Odyssey Sims,DAL,13,201.51,-0.285589,-0.516908,-0.802497,0.401807,-4.04277926175,-0.134759308725
Dearica Hamby,LA,20,585.94,0.295909,-1.14153,-0.845621,0.661377,-12.3870792185,-0.41290264061666665
Nikolina Milic,TOR,7,63.053333,-0.587065,-0.294992,-0.882057,0.173675,-1.390415843649525,-0.046347194788317496
Elizabeth Williams,CHI,21,361.785,0.542479,-1.436743,-0.894264,0.546681,-8.088282531,-0.2696094177
Raven Johnson,IND,22,322.773333,0.308918,-1.210536,-0.901618,0.518284,-7.27545617381985,-0.24251520579399502
Natasha Cloud,CHI,20,543.89,-0.914873,0.011894,-0.902979,0.644503,-12.27803120775,-0.409267706925
NaLyssa Smith,LV,23,555.765,-1.933424,0.996111,-0.937313,0.649436,-13.023143986125001,-0.4341047995375
Gianna Kneepkens,CON,18,149.405,-0.659482,-0.323681,-0.983163,0.332451,-3.672236700375,-0.1224078900125
Haley Jones,POR,5,56.6,0.695272,-1.6974,-1.002128,0.158721,-1.41801112,-0.04726703733333333
Jordan Harrison,POR,3,32.046667,1.820697,-2.831129,-1.010432,0.096513,-0.8095244457536,-0.02698414819178666
Brittney Sykes,TOR,15,476.676667,0.250337,-1.284374,-1.034037,0.613739,-12.322532767866974,-0.4107510922622325
Nadia Fingall,GS,3,7.7,-0.464899,-0.598967,-1.063866,0.025024,-0.204794205,-0.0068264735
Alicia Florez Getino,WSH,11,212.971667,-1.344476,0.24906,-1.095416,0.415172,-5.8323142894618,-0.19441047631539332
Alysha Clark,DAL,14,122.836667,-1.200937,0.083539,-1.117398,0.290506,-3.43143615081165,-0.114381205027055
Maddy Westbeld,CHI,2,20.633333,-0.93179,-0.253317,-1.185107,0.064352,-0.611317684290775,-0.020377256143025834
Charlisse Leger-Walker,CON,22,472.888333,0.043221,-1.232757,-1.189536,0.611846,-14.062942402087202,-0.4687647467362401
Jordan Horston,SEA,19,353.923333,-3.697521,2.458802,-1.238719,0.541231,-10.960288928260677,-0.3653429642753559
Maria Conde,TOR,21,533.81,2.682807,-3.928667,-1.24586,0.640206,-16.626313165,-0.5542104388333333
Georgia Amoore,WSH,20,464.353333,-1.632506,0.381532,-1.250974,0.607511,-14.52234865990855,-0.48407828866361835
Nyara Sabally,TOR,15,359.308333,-1.705982,0.454686,-1.251296,0.544978,-11.240026996239202,-0.37466756654130673
Sophie Cunningham,IND,21,475.653333,1.801653,-3.158141,-1.356488,0.613229,-16.130450959362598,-0.5376816986454199
Monique Akoa Makani,PHX,12,286.153333,-2.649528,1.275333,-1.374195,0.488189,-9.830761986048374,-0.32769206620161245
Natisha Hiedeman,SEA,24,692.37,0.623752,-2.000594,-1.376842,0.697693,-23.8321023885,-0.79440341295
Bree Hall,IND,2,10.7,0.111027,-1.49222,-1.381193,0.034438,-0.3694691275,-0.012315637583333336
Liatu King,MIN,7,70.656667,-1.204176,-0.184038,-1.388214,0.190626,-2.45216435806845,-0.081738811935615
Taylor Thierry,SEA,9,38.273333,-1.839308,0.396173,-1.443135,0.113143,-1.380839660473875,-0.046027988682462495
Marta Suarez,PHX,8,79.615,0.095651,-1.546729,-1.451078,0.209726,-2.88818937425,-0.09627297914166667
Rori Harmon,WSH,8,64.146667,-1.787302,0.332419,-1.454883,0.176156,-2.3331473831240244,-0.07777157943746747
Emma Cechova,MIN,3,51.803333,-0.339685,-1.145283,-1.484968,0.147251,-1.9231572949586,-0.06410524316528668
Miela Sowah,GS,2,5.783333,-0.329553,-1.172921,-1.502474,0.018913,-0.21723268664605,-0.0072410895548683345
Cheyenne Parker-Tyus,LV,20,223.461667,0.618867,-2.135937,-1.51707,0.426892,-8.475174778892253,-0.2825058259630751
Alex Fowler,NY,2,31.291667,-0.385843,-1.131273,-1.517116,0.094454,-1.1868272168093,-0.039560907226976666
Caitlin Clark,IND,18,538.855,1.809104,-3.412729,-1.603625,0.64237,-21.603033734375,-0.7201011244791666
Nneka Ogwumike,LA,19,596.863333,0.565225,-2.292801,-1.727576,0.665501,-25.7781692342702,-0.8592723078090068
Rebecca Allen,NY,8,83.85,-1.102257,-0.632108,-1.734365,0.218445,-3.63566263125,-0.121188754375
Frieda Buhner,POR,19,276.978333,0.372465,-2.175036,-1.802571,0.48005,-12.481827767353575,-0.41606092557845253
Temi Fagbenle,TOR,8,142.948333,1.174077,-2.994519,-1.820442,0.32272,-6.50572873057965,-0.216857624352655
Alanna Smith,DAL,18,269.865,-1.902471,0.05979,-1.842681,0.47356,-12.431877701625002,-0.4143959233875
Kierstan Bell,LV,19,207.233333,-0.934753,-0.925763,-1.860516,0.408556,-9.6390232944957,-0.32130077648318994
Alex Wilson,WSH,4,57.918333,-2.18815,0.29953,-1.88862,0.16182,-2.7346430517615,-0.09115476839204997
Shatori Walker-Kimbrough,IND,2,6.533333,-1.50719,-0.459491,-1.966681,0.021314,-0.321224546944325,-0.010707484898144166
Stefanie Dolson,SEA,24,443.31,-0.639123,-1.331275,-1.970398,0.5964,-21.8374284345,-0.72791428115
Emily Engstler,POR,22,519.551667,-0.246868,-1.844448,-2.091316,0.633946,-27.1636678505943,-0.90545559501981
Kamiah Smalls,POR,2,30.176667,-0.802177,-1.289205,-2.091382,0.091396,-1.57777345459485,-0.052592448486495
Megan Gustafson,POR,22,491.326667,-0.247883,-1.847809,-2.095692,0.62089,-25.7417341354641,-0.85805780451547
Cotie McMahon,WSH,18,380.158333,-3.675986,1.517436,-2.15855,0.558926,-20.51476924242875,-0.6838256414142916
Emese Hof,MIN,3,20.618333,-0.953511,-1.209489,-2.163,0.064308,-1.114936356975,-0.0371645452325
Kyara Linskens,PHX,16,165.92,-2.734562,0.554741,-2.179821,0.356113,-9.041897508,-0.3013965836
Sha Carter,PHX,13,80.596667,-0.686087,-1.531019,-2.217106,0.211764,-4.467283849642549,-0.14890946165475163
Zia Cooke,SEA,24,366.208333,-1.601876,-0.655319,-2.257195,0.54969,-20.665090455148377,-0.6888363485049459
Diamond Miller,CON,22,468.163333,-0.879298,-1.48169,-2.360988,0.609458,-27.6332002813251,-0.92110667604417
Kiah Stokes,GS,23,510.026667,-6.154325,3.710449,-2.443876,0.629642,-31.161048271032296,-1.03870160903441
Kahleah Copper,PHX,22,716.008333,-0.498903,-1.9601,-2.459003,0.704727,-44.0166659718,-1.46722219906
Skylar Diggins,CHI,19,552.923333,1.127398,-3.635969,-2.508571,0.648269,-34.67618595967857,-1.155872865322619
Marina Mabrey,TOR,20,580.785,-0.579934,-1.93643,-2.516364,0.659395,-36.5366616435,-1.21788872145
Tima Pouye,TOR,13,132.348333,-0.745716,-1.789011,-2.534727,0.306115,-8.386672326502275,-0.2795557442167425
Sabrina Ionescu,NY,11,320.52,-0.421923,-2.135168,-2.557091,0.516535,-20.489970183,-0.6829990061
Hailey Van Lith,CON,10,163.665,-0.540087,-2.044993,-2.58508,0.352981,-10.577177955,-0.3525725985
Damiris Dantas,IND,10,88.986667,0.909952,-3.499028,-2.589076,0.228765,-5.7598310962423,-0.19199436987474333
Rebekah Gardner,NY,22,336.933333,-0.761984,-1.854611,-2.616595,0.528993,-22.040451861528375,-0.7346817287176125
Madina Okot,ATL,22,209.091667,-3.665002,0.865035,-2.799967,0.410715,-14.636244189374725,-0.48787480631249086
Sug Sutton,DAL,11,151.473333,-0.735999,-2.08855,-2.824549,0.335509,-10.696096281295425,-0.3565365427098475
Lexie Brown,SEA,10,147.896667,0.055235,-3.040947,-2.985712,0.330203,-11.0394213355476,-0.36798071118492
Kia Nurse,TOR,21,240.28,-0.521444,-2.518534,-3.039978,0.444732,-18.261147846,-0.6087049282
Teonni Key,TOR,20,193.605,-0.673575,-2.55182,-3.225395,0.392227,-15.611314974375,-0.5203771658125
Azura Stevens,CHI,16,371.503333,-0.743062,-2.628405,-3.371467,0.553241,-31.312780689987772,-1.0437593563329257
Jewell Loyd,LV,21,590.835,-0.162557,-3.340287,-3.502844,0.663237,-51.7400708685,-1.72466902895
Bridget Carleton,POR,21,634.96,-0.337249,-3.183779,-3.521028,0.679131,-55.892798472,-1.8630932824
Ashlon Jackson,CON,6,62.613333,-3.918804,0.339054,-3.57975,0.172672,-5.60350197016875,-0.18678339900562502
Saniya Rivers,CON,21,475.493333,-0.74703,-2.848496,-3.595526,0.613149,-42.74121604070395,-1.4247072013567983
Rae Burrell,LA,20,538.32,0.045334,-3.687608,-3.642274,0.642141,-49.017723492,-1.6339241164
Holly Winterburn,POR,11,83.9,-1.907867,-1.952295,-3.860162,0.218546,-8.096689795,-0.2698896598333333
Karlie Samuelson,POR,11,154.76,-2.936688,-0.97397,-3.910658,0.340311,-15.130335802,-0.5043445267333333
Mackenzie Holmes,SEA,20,225.641667,-4.702734,0.669976,-4.032758,0.429269,-22.748955943189653,-0.7582985314396551
Aneesah Morrow,CON,17,385.731667,-2.498103,-1.705983,-4.204086,0.562511,-40.54122752478405,-1.351374250826135
Grace VanSlooten,IND,11,68.593333,-1.491746,-2.832321,-4.324067,0.186095,-7.415054191132773,-0.2471684730377591
Te-Hina Paopao,ATL,22,290.158333,-2.943004,-1.413797,-4.356801,0.491662,-31.604052884318328,-1.0534684294772776
Angela Dugalic,WSH,20,269.881667,-2.484321,-2.049371,-4.533692,0.473575,-30.5890088656141,-1.0196336288538033
Chance Gray,LA,17,189.838333,-2.230444,-2.328281,-4.558725,0.387553,-21.635518865135626,-0.7211839621711875
Aaliyah Edwards,CON,16,300.593333,-3.324858,-1.470247,-4.795105,0.500494,-36.034414850874114,-1.2011471616958038
Stephanie Talbot,LV,23,433.05,-5.156346,0.281352,-4.874994,0.590751,-52.7779037925,-1.75926345975
Katie Lou Samuelson,SEA,18,281.588333,-4.872545,-0.306795,-5.17934,0.484171,-36.461042916005496,-1.2153680972001832
